vintage,grade,n_loans,default_rate,funded_usd
2013-10-01,G,10,0.2,280425.0
2014-01-01,A,6684,0.051765409934171155,99530125.0
2014-01-01,B,12600,0.10198412698412698,164486325.0
2014-01-01,C,9282,0.16181857358327947,120148750.0
2014-01-01,D,3827,0.21191533838515808,45639475.0
2014-01-01,E,1259,0.2549642573471009,13270350.0
2014-01-01,F,407,0.2800982800982801,3937500.0
2014-01-01,G,15,0.3333333333333333,335400.0
2014-04-01,A,7468,0.05731119442956615,108529025.0
2014-04-01,B,13325,0.1072420262664165,167835200.0
2014-04-01,C,10286,0.16838421154967917,121267725.0
2014-04-01,D,4702,0.21501488728200766,49786650.0
2014-04-01,E,1653,0.24682395644283123,15893525.0
2014-04-01,F,427,0.27634660421545665,3466575.0
2014-04-01,G,20,0.25,211750.0
2014-07-01,A,8654,0.049456898544025886,125108800.0
2014-07-01,B,13174,0.10976165173827235,166997100.0
2014-07-01,C,10344,0.1710170146945089,126119200.0
2014-07-01,D,5277,0.20238772029562252,60307425.0
2014-07-01,E,2226,0.24483378256963162,23073300.0
2014-07-01,F,822,0.2956204379562044,6769400.0
2014-07-01,G,98,0.3469387755102041,1412675.0
2014-10-01,A,12527,0.055879300710465395,175528175.0
2014-10-01,B,14361,0.10953276234245526,177120350.0
2014-10-01,C,14130,0.1818825194621373,160688875.0
2014-10-01,D,6704,0.2473150357995227,80789000.0
2014-10-01,E,1928,0.32987551867219916,23747625.0
2014-10-01,F,324,0.33641975308641975,3486200.0
2014-10-01,G,46,0.45652173913043476,554250.0
2015-01-01,A,14130,0.05725406935598018,204874675.0
2015-01-01,B,17013,0.11838006230529595,215913025.0
2015-01-01,C,15808,0.18541244939271256,186660025.0
2015-01-01,D,7205,0.2546842470506593,89909075.0
2015-01-01,E,2102,0.3268315889628925,28151000.0
2015-01-01,F,267,0.3782771535580524,2938150.0
2015-01-01,G,43,0.32558139534883723,405600.0
2015-04-01,A,16495,0.05826007881176114,233758225.0
2015-04-01,B,18733,0.12331180270111568,234083625.0
2015-04-01,C,17873,0.19342024282437195,208143100.0
2015-04-01,D,8184,0.2653958944281525,100734400.0
2015-04-01,E,2524,0.3165610142630745,34326375.0
2015-04-01,F,361,0.44321329639889195,4025075.0
2015-04-01,G,52,0.36538461538461536,545525.0
2015-07-01,A,17717,0.049895580515888695,259194950.0
2015-07-01,B,23892,0.11309224845136448,304375150.0
2015-07-01,C,20285,0.19433078629529207,245023650.0
2015-07-01,D,8723,0.25220680958385877,107649975.0
2015-07-01,E,2549,0.3201255394272264,31952025.0
2015-07-01,F,345,0.4492753623188406,3572750.0
2015-07-01,G,56,0.4642857142857143,612250.0
2015-10-01,A,21758,0.05276220240830959,316646325.0
2015-10-01,B,32007,0.12106726653544538,392800425.0
2015-10-01,C,23382,0.2013942348815328,279907375.0
2015-10-01,D,8556,0.2753623188405797,103320700.0
2015-10-01,E,2249,0.35260115606936415,26662225.0
2015-10-01,F,385,0.4155844155844156,3644025.0
2015-10-01,G,93,0.5806451612903226,805975.0
