segment,level,n_loans,actual_default_rate,predicted_default_rate,gap_pp,actual_to_predicted,segment_auc,est_dollar_impact,flagged,valid_gap_pp,valid_actual_to_predicted,already_flagged_in_2013,same_direction_in_2013
home_ownership,RENT,191147,0.17166892496350977,0.14657210292549183,2.509682203801794,1.1712250935689694,0.6582992332817533,21893284.208268,True,1.0748305688890791,1.0785591939340873,False,True
verification_status,Verified,122991,0.1779154572285777,0.15301585038955706,2.4899606839020647,1.1627256704166902,0.660502574660162,17761824.71344061,True,0.09835794406165554,1.0077263848437714,False,True
credit_history,5–10 yrs,68020,0.16895030873272568,0.14132742904433482,2.762287968839086,1.1954530686306157,0.6561392721517149,7893316.912226396,True,1.045775570246274,1.0770235822161975,False,True
dti_band,30+,41753,0.20647618135223816,0.16831766291135353,3.8158518440884635,1.2267053723350547,0.6315169980936102,7189721.572267347,True,0.9651594352491716,1.0626498741465338,False,True
dti_band,25–30,56610,0.1797915562621445,0.15724276665768924,2.254878960445525,1.1434011247941407,0.6517022964695005,6576530.8746105395,True,1.135013833067916,1.0754691129491742,False,True
income_quintile,Q1 (< $37k),73750,0.19960677966101695,0.17743242711003676,2.2174352550980188,1.124973506320964,0.6233427725874111,4729583.222446746,True,1.9763424933148062,1.1210325735200233,False,True
emp_length,missing,28565,0.21102748118326622,0.18196355596827568,2.9063925214990545,1.159723880204109,0.6287164020390387,3448798.51159821,True,1.1303634111540672,1.0672532142786435,False,True
credit_history,< 5 yrs,12480,0.1922275641025641,0.16451593681760615,2.7711627284957965,1.1684434214764312,0.6248436435195881,1209026.050231182,True,1.4775565422329662,1.0936653923247657,False,True
purpose,major_purchase,8228,0.14122508507535245,0.10724028482063608,3.398480025471637,1.316903300952225,0.6655453645076446,1153688.1435230887,True,1.3926674795052927,1.152141234223962,False,True
fico_band,780+,10375,0.041734939759036145,0.03005094095071419,1.1683998808321956,1.3888064213192057,0.7031835453946981,734661.6959506051,True,0.3221858202706967,1.1054931824701102,False,True
purpose,moving,3194,0.20663744520976832,0.15948970100407714,4.7147744205691176,1.2956162304454124,0.6542865513859989,404804.5777118006,True,0.07525001961459221,1.0048085747829338,False,True
purpose,house,1515,0.20924092409240924,0.16199761956482298,4.724330452758626,1.2916296218086214,0.6620313561508929,338167.96182659356,True,,,False,False
purpose,medical,5029,0.17538277987671505,0.15486361488459963,2.0519164992115426,1.1324982954027374,0.6516750900987354,304376.5626236685,True,1.5820339709609055,1.1067195707254849,False,True
