loss_rate_multiplier,fixed_cost_per_loan,profit_grade_at_70pct,profit_m1_pd_at_70pct,profit_m2_pd_at_70pct,profit_m2_profit_at_70pct,profit_b0_profit_at_70pct,best_policy_at_rate,m2_profit_minus_grade,profit_max_approval_rate,profit_max_profit,grade_profit_at_same_rate
0.8,0,300599137.4406869,327347164.4905666,323370094.00017923,367147056.1070462,368041728.78253585,b0_profit,66547918.666359305,0.9962726532,420190442.99771124,419678269.2669362
0.8,50,285011637.4406869,311759664.4905666,307782594.0001793,351559556.1070462,352454228.7825359,b0_profit,66547918.666359305,0.9939239756,397718723.53955096,396857436.3214951
0.8,100,269424137.4406869,296172164.4905666,292195094.00017923,335972056.1070461,336866728.7825359,b0_profit,66547918.666359246,0.9894713679,375226130.54641366,373551872.0967947
1.0,0,270423593.01496226,293071756.46086216,292880600.8449546,315361586.03531283,314452630.45120686,m2_profit,44937993.020350575,0.9869228507,358614554.8702786,358414021.53188634
1.0,50,254836093.0149623,277484256.46086216,277293100.8449546,299774086.0353128,298865130.45120686,m2_profit,44937993.020350486,0.9813520389,335999568.5750144,335332059.50939476
1.0,100,239248593.0149623,261896756.46086216,261705600.8449546,284186586.0353129,283277630.4512069,m2_profit,44937993.020350635,0.970432709,313344868.22820723,311872984.18436575
1.2,0,240248048.58923775,258796348.43115756,262391107.68973,266303318.55816746,261127290.90806645,m2_profit,26055269.96892968,0.9619563631,297156574.93409175,298224050.64667
1.2,50,224660548.58923778,243208848.43115756,246803607.68973,250715818.55816746,245539790.90806645,m2_profit,26055269.96892968,0.9517757664,275448989.39993644,276172258.24665517
1.2,100,209073048.58923778,227621348.43115756,231216107.68973,235128318.55816746,229952290.90806645,m2_profit,26055269.96892968,0.9337587598,253698570.82306385,253925017.06206742
