variable,period,n_loans,psi,status
M2 calibrated PD,valid 2013,100422,0.035745741193562705,stable
M2 calibrated PD,2014Q1,34074,0.07691621126944978,stable
M2 calibrated PD,2014Q2,37881,0.07588299415739276,stable
M2 calibrated PD,2014Q3,40595,0.07342312104113549,stable
M2 calibrated PD,2014Q4,50020,0.12085577684494035,monitor
M2 calibrated PD,2015Q1,56568,0.11025598747017842,monitor
M2 calibrated PD,2015Q2,64222,0.1003090315354277,monitor
M2 calibrated PD,2015Q3,73567,0.06638458389678004,stable
M2 calibrated PD,2015Q4,88430,0.05545893737287458,stable
