feature,bin,n,share,bad_rate,woe,iv,coefficient,points
bc_util,"(40.7, 53.5]",3685,0.0558020504,0.121302578,0.0323787696,0.0453635754,-0.0140595669,60.3949673991
bc_util,"(53.5, 63.7]",3713,0.0562260551,0.1360086184,-0.0987994526,0.0453635754,-0.0140595669,60.3417518906
bc_util,"(63.7, 72.1]",3688,0.0558474794,0.123373102,0.0131144729,0.0453635754,-0.0140595669,60.3871523874
bc_util,"(72.1, 79.7]",3747,0.056740918,0.1326394449,-0.0698416783,0.0453635754,-0.0140595669,60.3534992878
bc_util,"(79.7, 86.2]",3655,0.0553477596,0.1354309166,-0.0938920632,0.0453635754,-0.0140595669,60.3437426877
bc_util,"(86.2, 91.8]",3697,0.0559837667,0.1487692724,-0.2032734216,0.0453635754,-0.0140595669,60.2993695858
bc_util,"(91.8, 96.5]",3747,0.056740918,0.1668001068,-0.3389723192,0.0453635754,-0.0140595669,60.2443201597
bc_util,> 96.5,3648,0.0552417584,0.1943530702,-0.5253759501,0.0453635754,-0.0140595669,60.1687011747
bc_util,Missing,29040,0.4397534715,0.111053719,0.1330768784,0.0453635754,-0.0140595669,60.4358179381
purpose,car,1508,0.022835683,0.0888594164,0.3774189164,0.0421194651,-0.9869598107,71.1298324113
purpose,credit_card,12353,0.1870617987,0.1018376103,0.229756893,0.0421194651,-0.9869598107,66.9247663939
purpose,debt_consolidation,34754,0.5262807214,0.1318121655,-0.0619245918,0.0421194651,-0.9869598107,58.6183659319
purpose,home_improvement,3939,0.0596483789,0.1005331302,0.2433319851,0.0421194651,-0.9869598107,67.311352985
purpose,major_purchase,2566,0.0388570044,0.0845674201,0.4328967759,0.0421194651,-0.9869598107,72.7097109479
purpose,medical,999,0.0151278829,0.1471471471,-0.1925171587,0.0421194651,-0.9869598107,54.8993977606
purpose,moving,779,0.0117964172,0.1578947368,-0.2761806545,0.0421194651,-0.9869598107,52.5168588079
purpose,other,6033,0.0913578751,0.1456986574,-0.1785903578,0.0421194651,-0.9869598107,55.2960001921
purpose,small_business,1897,0.0287263201,0.2061149183,-0.599303349,0.0421194651,-0.9869598107,43.3150868791
purpose,wedding,1209,0.0183079183,0.0976013234,0.2735330233,0.0421194651,-0.9869598107,68.1714072944
inq_last_6mths,<= 0,33634,0.5093205324,0.1074507938,0.1697529157,0.0343254172,-0.9722957,65.144169391
inq_last_6mths,"(0, 1]",18176,0.2752396384,0.130996919,-0.0551794844,0.0343254172,-0.9722957,58.8337980434
inq_last_6mths,"(1, 2]",9117,0.1380589669,0.1497203027,-0.2106793224,0.0343254172,-0.9722957,54.4713241535
inq_last_6mths,> 2,5110,0.0773808622,0.1729941292,-0.3830670397,0.0343254172,-0.9722957,49.6350688544
home_ownership,MORTGAGE,28547,0.4322879598,0.1070164991,0.1742670134,0.0210174207,-0.2511408512,61.6446394987
home_ownership,Rare levels,77,0.001166013,0.1948051948,-0.5528474996,0.0210174207,-0.2511408512,56.3756818264
home_ownership,OWN,5342,0.0808940442,0.1351553725,-0.0916332491,0.0210174207,-0.2511408512,59.7178216408
home_ownership,RENT,32071,0.485651983,0.1388169998,-0.1221177236,0.0210174207,-0.2511408512,59.4969191515
